ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_033293003007,FREIX CORDON NEGRO BRUT 750ML,35000567,35000567,,,,a,Default,Case,12.00,,,u,_033293003007,Master,109.10,0.00,1900-01-01,2075-12-31
_082184090541,JACK DANIELS TENNESSEE WHSKY 50ML,33000774,33000774,,,,a,401 04A 000,Case,120.00,,,u,_082184090541,Master,218.33,0.00,1900-01-01,2075-12-31
_085000007303,BOONES FRM STRW HILL 750ML,16450,16450,,,,a,Default,Case,12.00,,,u,_085000007303,Master,38.32,0.00,1900-01-01,2075-12-31
_086767500090,GOLDEN SCHALGER CINN 375ML,141484,141484,,,,a,Default,Case,12.00,,,u,_086767500090,Master,139.15,0.00,1900-01-01,2075-12-31
_089819060085,MERIDIAN CHARD SANT BARB 750ML,149551,149551,,,,a,Default,Case,12.00,,,u,_089819060085,Master,79.15,0.00,1900-01-01,2075-12-31
_089819068012,MERIDIAN MERLOT 750ML,37003340,37003340,,,,a,Default,Case,12.00,,,u,_089819068012,Master,79.15,0.00,1900-01-01,2075-12-31
_12894862312,ROSEMOUNT CHARDONAY 750ML,148646,148646,,,,a,Default,Case,12.00,,,u,_128948623126,Master,79.15,0.00,1900-01-01,2075-12-31
_12894868014,ROSEMOUNT DIAMOND SHIRAZ CAB 750ML,37003218,37003218,,,,a,Default,Case,12.00,,,u,_112894868014,Master,79.15,0.00,1900-01-01,2075-12-31
_12894868014,,,,,,,,,,,,,u,_128948680143,,,,,
_811280233473,CANADIAN MIST 50ML,37003361,37003361,,,,a,Default,Case,120.00,,,u,_811280233473,Master,72.59,0.00,1900-01-01,2075-12-31
_820000010416,SMIRNOFF VODKA GRN APPLE TWST 375ML,37003224,37003224,,,,a,Default,Case,12.00,,,u,_820000010416,Master,59.79,0.00,1900-01-01,2075-12-31
_820000011406,SMIRNOFF RASPBERRY TWST 375ML,37003254,37003254,,,,a,Default,Case,12.00,,,u,_820000011406,Master,59.79,0.00,1900-01-01,2075-12-31
_820000033668,SMIRNOFF VODKA ICED CAKE 50ML,37003234,37003234,,,,a,Default,Case,12.00,,,u,_820000033668,Master,119.39,0.00,1900-01-01,2075-12-31
_820000038854,SMIRNOFF VODKA ORANGE TWST 375ML,37003248,37003248,,,,a,Default,Case,12.00,,,u,_820000038854,Master,59.79,0.00,1900-01-01,2075-12-31
_820000039080,SMIRNOFF VODKA ORANGE TWST 50ML,37003238,37003238,,,,a,Default,Case,12.00,,,u,_820000039080,Master,119.39,0.00,1900-01-01,2075-12-31
_820000039394,SMIRNOFF VODKA CITRUS TWST 375ML,37003222,37003222,,,,a,Default,Case,12.00,,,u,_820000039394,Master,59.79,0.00,1900-01-01,2075-12-31
_820000039608,SMIRNOFF VODKA RASPBERRY TWST 750ML,37003264,37003264,,,,a,Default,Case,12.00,,,u,_820000039608,Master,116.91,0.00,1900-01-01,2075-12-31
_820000040352,SMIRNOFF VODKA VANILLA TWST 375ML,37003288,37003288,,,,a,Default,Case,12.00,,,u,_820000040352,Master,119.39,0.00,1900-01-01,2075-12-31
_820000724054,SMIRNOFF VODKA VANILLA TWST 50ML,37003289,37003289,,,,a,Default,Case,12.00,,,u,_820000724054,Master,119.39,0.00,1900-01-01,2075-12-31
_820001049026,SMIRNOFF VODKA 80PF 50ML,37003221,37003221,,,,a,Default,Case,120.00,,,u,_820001049026,Master,119.39,0.00,1900-01-01,2075-12-31
_82000125945,POPOV 80 PLASTIC 750ML,125671,125671,,,,a,Default,Case,12.00,,,u,_082000125945,Master,73.31,0.00,1900-01-01,2075-12-31
_820007258248,SMIRNOFF VODKA GRN APPL TWIST 750ML,37003230,37003230,,,,a,Default,Case,12.00,,,u,_820007258248,Master,116.91,0.00,1900-01-01,2075-12-31
_842760029583,YES WAY ROSE 4PK 250ML CN,37003298,37003298,,,,a,Default,Case,24.00,,,u,_842760029583,Master,76.50,0.00,1900-01-01,2075-12-31
_86767500120,GOLDSCHLAGER CINN SCHNAPPS 50ML,1079767,1079767,,,,a,Default,Case,120.00,,,u,_086767500120,Master,258.95,0.00,1900-01-01,2075-12-31
_870000032628,SEAGRAMS SEVEN CROWN 50ML,37003219,37003219,,,,a,Default,Case,120.00,,,u,_870000032628,Master,125.16,0.00,1900-01-01,2075-12-31
_886928602324,STERLING VINTNERS COL CAB SAUV 750ML,37003290,37003290,,,,a,Default,Case,12.00,,,u,_886928602324,Master,134.50,0.00,1900-01-01,2075-12-31
