ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_018200259760,BUD LT MANGO CHELADA 25Z CN,1117264,1117264,,,,a,401 01J 000,Case,15.00,,,u,_018200259760,Master,30.80,0.00,1900-01-01,2075-12-31
_018200873942,BUD ICE 32Z LN,37003201,37003201,,,,a,401 01J 000,Case,12.00,,,u,_018200002458,Master,21.50,0.00,1900-01-01,2075-12-31
_018200873942,,,,,,,,,,,,,u,_018200873942,,,,,
_018200960208,BUD CHELADA 12PK 8Z CN,37003200,37003200,,,,a,401 01D 000,Case,24.00,,,u,_018200209994,Master,18.10,0.00,1900-01-01,2075-12-31
_018200960208,,,,,,,,,,,,,u,_018200960208,,,,,
_018200962905,BUD CHELADA 6PK 12Z CN,1124533,1124533,,,,a,401 01B 000,Case,24.00,,,u,_018200002342,Master,25.00,0.00,1900-01-01,2075-12-31
_018200962905,,,,,,,,,,,,,u,_018200962905,,,,,
_083783228519,SIERRA NEVADA HOP BULLET 6PK 12Z CN,37003270,37003270,,,,a,401 01B 000,Case,24.00,,,u,_083783228519,Master,28.00,0.00,1900-01-01,2075-12-31
_18200150302,NATURAL LT 30PK 12z CN,156251,156251,,,,a,401 01I 000,Case,30.00,,,u,_018200150302,Master,16.50,0.00,1900-01-01,2075-12-31
_18200150302,,,,,,,,,,,,,u,_182001503022,,,,,
_18200151828,NATURAL LT 18PK 16z CN,192787,192787,,,,a,401 01F 000,Case,18.00,,,u,_018200151828,Master,13.95,0.00,1900-01-01,2075-12-31
_18200151828,,,,,,,,,,,,,u,_182001518286,,,,,
_18200285486,B&V SPIKED VARIETY 6PK 12Z CN,1100077,1100077,,,,a,401 01B 000,Case,24.00,,,u,_018200285486,Master,28.00,0.00,1900-01-01,2075-12-31
_18200285486,,,,,,,,,,,,,u,_182002854864,,,,,
_610764264640,BANG MOCHA COFFEE 16Z,36009380,36009380,,,,a,601 13A 000,Case,12.00,,,u,_610764264640,Master,28.00,0.00,1900-01-01,2075-12-31
_610764264688,BANG COOKIES N CREME 16Z,36014099,36014099,,,,a,601 13A 000,Case,12.00,,,u,_610764264688,Master,28.00,0.00,1900-01-01,2075-12-31
_610764264701,BANG HAZELNUT COFFEE 16Z,36009379,36009379,,,,a,601 13A 000,Case,12.00,,,u,_610764264701,Master,28.00,0.00,1900-01-01,2075-12-31
_670492100412,OAK CREEK NUT BROWN 6PK 12Z LN,37003260,37003260,,,,a,401 01B 000,Case,24.00,,,u,_670492100412,Master,29.48,0.00,1900-01-01,2075-12-31
_815351003026,FOUR PEAKS HOP IPA 6PK 12Z LN,37003202,37003202,,,,a,401 01B 000,Case,24.00,,,u,_815351003026,Master,28.50,0.00,1900-01-01,2075-12-31
_83783375503,SIERRA NEVADA HAZY LITTLE THING 19.2Z CN,1117252,1117252,,,,a,401 01J 000,Case,15.00,,,u,_083783375503,Master,28.00,0.00,1900-01-01,2075-12-31
_83783375503,,,,,,,,,,,,,u,_837833755032,,,,,
