ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_014800000085,MOTTS FRUIT PUNCH 8z,1055175,1055175,,,,a,601 12A 000,Case,24.00,,,u,_014800000085,Master,8.80,0.00,1900-01-01,2075-12-31
_014800000245,MOTTS WILD GRAPE PUNCH 8z,1055177,1055177,,,,a,601 12A 000,Case,24.00,,,u,_014800000245,Master,8.80,0.00,2013-11-08,2075-12-31
_014800001921,HAWAIIAN FRUIT PUNCH RED 10z,1055194,1055194,,,,a,601 12A 000,Case,24.00,,,u,_014800001921,Master,10.25,0.00,2013-11-11,2075-12-31
_014800002294,MOTTS APPLE JUICE,1055182,1055182,,,,a,601 12 000,Case,24.00,,,u,_014800002294,Master,8.80,0.00,1900-01-01,2075-12-31
_014800004946,CLAMATO PET 12z,1087649,1087649,,,,a,601 12A 000,Case,24.00,,,u,_014800004946,Master,11.75,0.00,2018-05-07,2075-12-31
_014800004946,,,,,,,,,,,,,u,_014800004960,,,,,
_016571910303,SPARKLING ICE BLK RASBERRY 17z,1052656,1052656,,,,a,Default,Case,12.00,,,u,_016571910303,Master,9.00,0.00,2016-01-13,2075-12-31
_016571910310,SPARKLING ICE ORANGE MANGO 17z,1052657,1052657,,,,a,Default,Case,12.00,,,u,_016571910310,Master,9.00,0.00,2016-01-13,2075-12-31
_016571910327,SPARKLING ICE KIWI STRAWBERRY 17z,1052644,1052644,,,,a,601 11 000,Case,12.00,,,u,_016571910327,Master,9.00,0.00,2016-01-13,2075-12-31
_016571940355,SPARKLING ICE LEMONADE 17z,1052659,1052659,,,,a,601 11 000,Case,12.00,,,u,_016571940355,Master,9.00,0.00,2016-01-13,2075-12-31
_016571950842,SPARKLING ICE CHERRY LEMONADE 17z,1064891,1064891,,,,a,601 11 000,Case,12.00,,,u,_016571950842,Master,9.00,0.00,2016-01-13,2075-12-31
_025713919708,UPTIME ORIGINAL SUGAR FREE 12z,1088981,1088981,,,,a,601 13A 000,Case,24.00,,,u,_025713919708,Master,40.00,0.00,1900-01-01,2075-12-31
_028000085902,NESQUIK STRAW 1% 8z,1052577,1052577,,,,a,601 07 410,Case,10.00,,,u,_028000085902,Master,7.80,0.00,2012-11-26,2075-12-31
_028000157593,NESQUIK GS THIN MNT 14Z,1056166,1056166,,,,a,601 07 410,Case,12.00,,,u,_028000157593,Master,16.36,0.00,2014-11-03,2075-12-31
_028000157593,,,,,,,,,,,,,u,_028000968182,,,,,
_028000246204,NESQUIK CHOC QT,14883,14883,,,,a,601 07 310,Case,12.00,,,u,_028000246204,Master,26.00,0.00,2009-08-03,2075-12-31
_028000276393,NESQUIK PROTEIN PLUS CHOC 14Z,1085995,1085995,,,,a,601 07 410,Case,12.00,,,u,_028000276393,Master,19.44,0.00,2018-04-12,2075-12-31
_028000515751,NESQUIK STRAW 14z,15365,15365,,,,a,601 07 410,Case,12.00,,,u,_028000245702,Master,16.36,0.00,2014-11-06,2075-12-31
_028000515751,,,,,,,,,,,,,u,_028000515751,,,,,
_028000616502,NESQUIK CHOC 1% 8z,1052576,1052576,,,,a,601 07 410,Case,10.00,,,u,_028000616502,Master,7.80,0.00,2012-11-26,2075-12-31
_028000772123,NESQUIK CHOC 14z,14886,14886,,,,a,601 07 410,Case,12.00,,,u,_028000246303,Master,16.36,0.00,2014-11-06,2075-12-31
_028000772123,,,,,,,,,,,,,u,_028000772123,,,,,
_028000788582,NESQUIK PROTEIN PLUS BANANA 14Z,1085994,1085994,,,,a,601 07 410,Case,12.00,,,u,_028000788582,Master,19.44,0.00,2018-04-12,2075-12-31
_028000895037,NESQUIK DBL CHOC 14z,122196,122196,,,,a,601 07 410,Case,12.00,,,u,_028000504205,Master,16.36,0.00,2014-11-06,2075-12-31
_028000895037,,,,,,,,,,,,,u,_028000504250,,,,,
_028000895037,,,,,,,,,,,,,u,_028000895037,,,,,
_028000895044,NESQUIK BAN/STRAW 14Z,185351,185351,,,,a,601 07 410,Case,12.00,,,u,_028000748586,Master,16.36,0.00,2014-11-06,2075-12-31
_028000895044,,,,,,,,,,,,,u,_028000895044,,,,,
_028000896256,NESQUIK VERY VANILLA 14z,122198,122198,,,,a,601 07 410,Case,12.00,,,u,_028000504151,Master,16.36,0.00,2014-11-06,2075-12-31
_028000896256,,,,,,,,,,,,,u,_028000896256,,,,,
_028000990374,NESQUIK GS CAR/COCO 14Z,1056165,1056165,,,,a,601 07 410,Case,12.00,,,u,_028000390211,Master,16.36,0.00,2014-11-03,2075-12-31
_028000990374,,,,,,,,,,,,,u,_028000990374,,,,,
_029500209331,NEHI ORANGE 2L PP .99,1051075,1051075,,,,a,Default,Case,8.00,,,u,_029500209331,Master,6.40,0.00,1900-01-01,2075-12-31
_029500219330,NEHI GRAPE 2L PP .99,1051076,1051076,,,,a,Default,Case,8.00,,,u,_029500219330,Master,6.40,0.00,1900-01-01,2075-12-31
_029500239338,NEHI STRAWBERRY 2L PP .99,1051070,1051070,,,,a,Default,Case,8.00,,,u,_029500239338,Master,6.40,0.00,1900-01-01,2075-12-31
_029500269335,NEHI PEACH 2L PP .99,1079734,1079734,,,,a,901 03 000,Case,8.00,,,u,_029500269335,Master,6.40,0.00,2016-03-24,2075-12-31
_051000213518,CAMP V-8 ENERGY BLACKBERRY CRANBERRY 12z,1077300,1077300,,,,a,601 12B 000,Case,12.00,,,u,_051000213518,Master,15.84,0.00,1900-01-01,2075-12-31
_051000213549,CAMP V-8 ENERGY ORANGE PINEAPPLE 12z,1077299,1077299,,,,a,601 12B 000,Case,12.00,,,u,_051000213549,Master,15.84,0.00,1900-01-01,2075-12-31
_051000213556,CAMP V-8 ENERGY WHITE GRAPE RASP 12z,1077301,1077301,,,,a,601 12B 000,Case,12.00,,,u,_051000213556,Master,15.84,0.00,1900-01-01,2075-12-31
