ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_014800004946,CLAMATO PET 12z,1087649,1087649,,,,a,601 12A 000,Case,24.00,,,u,_014800004946,Master,11.75,0.00,2018-05-07,2075-12-31
_014800004946,,,,,,,,,,,,,u,_014800004960,,,,,
_025713919708,UPTIME ORIGINAL SUGAR FREE 12z,1088981,1088981,,,,a,Default,Case,24.00,,,u,_025713919708,Master,40.00,0.00,1900-01-01,2075-12-31
_028000085902,NESQUIK STRAW 1% 8z,1052577,1052577,,,,a,601 07 410,Case,10.00,,,u,_028000085902,Master,7.80,0.00,1900-01-01,2075-12-31
_028000157593,NESQUIK GS THIN MNT 14Z,1056166,1056166,,,,a,601 07 410,Case,12.00,,,u,_028000157593,Master,16.36,0.00,1900-01-01,2075-12-31
_028000157593,,,,,,,,,,,,,u,_028000968182,,,,,
_028000246204,NESQUIK CHOC QT,14883,14883,,,,a,601 07 310,Case,12.00,,,u,_028000246204,Master,26.00,0.00,1900-01-01,2075-12-31
_028000276393,NESQUIK PROTEIN PLUS CHOC 14Z,1085995,1085995,,,,a,601 07 410,Case,12.00,,,u,_028000276393,Master,19.44,0.00,2018-04-12,2075-12-31
_028000515751,NESQUIK STRAW 14z,15365,15365,,,,a,601 07 410,Case,12.00,,,u,_028000245702,Master,16.36,0.00,1900-01-01,2075-12-31
_028000515751,,,,,,,,,,,,,u,_028000515751,,,,,
_028000616502,NESQUIK CHOC 1% 8z,1052576,1052576,,,,a,601 07 410,Case,10.00,,,u,_028000616502,Master,7.80,0.00,1900-01-01,2075-12-31
_028000772123,NESQUIK CHOC 14z,14886,14886,,,,a,601 07 410,Case,12.00,,,u,_028000246303,Master,16.36,0.00,1900-01-01,2075-12-31
_028000772123,,,,,,,,,,,,,u,_028000772123,,,,,
_028000788582,NESQUIK PROTEIN PLUS BANANA 14Z,1085994,1085994,,,,a,601 07 410,Case,12.00,,,u,_028000788582,Master,19.44,0.00,2018-04-12,2075-12-31
_028000895037,NESQUIK DBL CHOC 14z,122196,122196,,,,a,601 07 410,Case,12.00,,,u,_028000504205,Master,16.36,0.00,1900-01-01,2075-12-31
_028000895037,,,,,,,,,,,,,u,_028000504250,,,,,
_028000895037,,,,,,,,,,,,,u,_028000895037,,,,,
_028000895044,NESQUIK BAN/STRAW 14Z,185351,185351,,,,a,601 07 410,Case,12.00,,,u,_028000748586,Master,16.36,0.00,1900-01-01,2075-12-31
_028000895044,,,,,,,,,,,,,u,_028000895044,,,,,
_028000896256,NESQUIK VERY VANILLA 14z,122198,122198,,,,a,601 07 410,Case,12.00,,,u,_028000504151,Master,16.36,0.00,1900-01-01,2075-12-31
_028000896256,,,,,,,,,,,,,u,_028000896256,,,,,
_028000990374,NESQUIK GS CAR/COCO 14Z,1056165,1056165,,,,a,601 07 410,Case,12.00,,,u,_028000390211,Master,16.36,0.00,1900-01-01,2075-12-31
_028000990374,,,,,,,,,,,,,u,_028000990374,,,,,
_071537020120,POLAR TONIC WATER 1L,1086724,1086724,,,,a,601 11 000,Case,12.00,,,u,_071537020120,Master,10.00,0.00,1900-01-01,2075-12-31
_071537020120,,,,,,,,,,,,,u,_071537120127,,,,,
_071537060287,POLAR SELTZER BLACK CHERRY WTR  20z,1089095,1089095,,,,a,Default,Case,24.00,,,u,_071537060287,Master,16.00,0.00,1900-01-01,2075-12-31
_071537060300,POLAR SELTZER RASP LIME WTR  20z,1081803,1081803,,,,a,Default,Case,24.00,,,u,_071537060300,Master,15.00,0.00,1900-01-01,2075-12-31
_071537060348,POLAR SELTZER LEMON WTR  20z,1067815,1067815,,,,a,Default,Case,24.00,,,u,_071537060348,Master,15.00,0.00,1900-01-01,2075-12-31
